Line, Length(Km)
Central_Southern_400kV,302.03
Central_Southern_400kV_S1,117.016
NE_Central_400kV,92.387
NE_Central_400kV_b,138.417 
NE_Central_400kV_c,225.283
NE_Central_400kV_S1,285.668 
NW_Central_400kV,165.234
NW_Central_400kV_S1,188.045 
SE_Central_400kV,246.703
SE_Central_400kV_a,194.126
SE_Central_400kV_S2,245.404
SE_NW_400kV,170.348
SE_NW_400kV_a,89.782 
SE_NW_400kV_b,164.42 
SE_NW_400kV_c,171.463 
Southern_Eastern_400kV_a,157.131
Southern_Eastern_400kV_b,151.223
Southern_Eastern_400kV_c,178.898
Southern_Eastern_400kV_d,169.927
Southern_Eastern_400kV_S5,353.908
Eastern_NE_400kV_1,257.218
Eastern_NE_400kV_1a,257.218
Eastern_NE_400kV_2,257.218
Eastern_NE_400kV_2a,257.218
